n,m,Inst,first_size_graph_AFBC,gap_AFBC,global_lower_bound_AFBC,global_upper_bound_AFBC,nb_generated_col_AFBC,opt_AFBC,reduction_AFBC,rel_error_AFBC,tot_bb_AFBC,tot_cputime_AFBC,tot_lb_AFBC
100,2,16,175217,0.0,209100,209100,29617,True,0.9110074935599227,0.0,580.463805,839.464974,406.8582240000004
100,2,21,149005,0.0,457836,457836,26741,True,0.9082111338484734,0.0,547.527259,800.257509,410.7767890000002
100,2,26,204196,0.0,92,92,466,True,0.9999999999951027,0.0,15.913662000000002,106.263224,15.872299999999996
100,2,31,204316,0.0,12729,12729,1394,True,0.5839924430755105,0.0,50.870204,223.262638,46.278463000000016
100,2,36,205769,0.0,56671,56671,31266,True,0.7803264826053471,0.0,968.8542020000002,1256.680692,770.285280000001
100,2,41,228883,0.0005970852149676192,237822,237964,241540,False,0.8533093327121135,0.0005970852149902,7248.352573,7544.534165,4693.1429869999965
100,2,46,169601,4.7302459017213306e-05,422811,422831,377390,False,0.908267050306848,4.730245901822019e-05,7165.659347,7493.398903,4725.485650999984
100,2,51,198761,0.0,0,0,1,True,0.9999999999949688,0.0,0.2778279999999999,1.472915,0.2452859999999998
100,2,56,221962,0.0,5047,5047,3082,True,0.526648705631925,0.0,127.107578,313.078327,111.44736000000007
100,2,61,212937,0.003501123000946597,45414,45573,264573,False,0.8256291767009696,0.0035011230016404,7198.717365,7655.649472999999,4833.453121999993
100,2,66,191056,0.0007435591168460786,126419,126513,301887,False,0.857418767267935,0.000743559116899,7219.677404,7793.050166000002,5021.216169999998
100,2,71,187002,0.0,327305,327305,5061,True,0.9749040117165864,0.0,147.100477,556.0265870000001,129.90571400000027
100,2,76,205595,0.0,0,0,1,True,0.999999999995136,0.0,0.4563809999999999,2.3090200000000003,0.3734769999999998
100,2,81,219398,0.0,908,908,9034,True,0.6194404689166745,0.0,317.969373,599.522327,266.6600889999998
100,2,86,246455,0.01021788958873881,36211,36581,248213,False,0.7674991377705159,0.0102178895912783,7271.146745,7904.300242,5115.977402
100,2,91,211166,0.002499903552910775,129605,129929,343312,False,0.7956725988047523,0.0024999035530843,7275.773215999999,7930.331680999999,4809.28336099999
100,2,96,183813,0.0002006744234466157,254143,254194,307194,False,0.8969224157110927,0.0002006744234537,7198.508841999999,7473.481556,4301.554503000003
100,2,101,211748,0.0,0,0,1,True,0.9999999999952773,0.0,0.420214,2.180142,0.3671379999999999
100,2,106,245276,0.0,0,0,1,True,0.9999999999959229,0.0,0.3737080000000001,2.334668,0.3274279999999998
100,2,111,262253,0.002570847069999542,84019,84235,340020,False,0.8309342505106483,0.0025708470702749,7177.757246,7606.006585,4569.071776000014
100,2,116,228478,0.0005390045684279904,191093,191196,478637,False,0.8741979534096316,0.0005390045684533,7234.073561,7913.020186999998,4724.745560000009
100,2,121,209401,0.00025210987029765044,241958,242019,453513,False,0.9026843233752336,0.000252109870307,7267.07499,7694.198669,4298.637456999996
100,4,1,96189,0.0,2001,2001,2059,True,0.4079052698291083,0.0,71.35826399999999,226.413864,54.4847979999999
100,4,6,101172,0.0,16893,16893,673,True,0.9999999999901159,0.0,14.290852,244.075922,14.265613000000002
100,4,11,99364,0.0007967968763975225,50201,50241,346521,False,0.7583430618658836,0.0007967968765403,7167.41835,7475.690159,5171.162750999998
100,4,16,104448,0.0010080828261730922,110110,110221,510294,False,0.7989142922717629,0.0010080828262554,7159.286979,7493.999810999999,4380.324478000008
100,4,21,108140,0.0,237392,237392,2309,True,0.954226003320194,0.0,37.79727199999999,266.22487,34.622175
100,4,26,111678,0.0,141,141,457,True,0.9999999999910457,0.0,8.722251999999997,154.311049,8.693599000000006
100,4,31,109653,0.0,7130,7130,25958,True,0.5582063418186625,0.0,1415.83865,1613.941779,1077.8602500000006
100,4,36,111810,0.0,30791,30791,17700,True,0.8276719434681364,0.0,419.673285,745.9722419999998,322.3667290000001
100,4,41,129190,0.0,126185,126185,28847,True,0.8803467760594447,0.0,492.193886,805.6905309999999,357.43225399999983
100,4,46,106756,0.0,219536,219536,37285,True,0.9250814942399015,0.0,483.585324,742.529939,326.6313929999996
100,4,51,105943,0.0,0,0,1,True,0.999999999990561,0.0,0.1776620000000001,0.891329,0.1540799999999999
100,4,56,114485,0.0,3076,3076,5867,True,0.5445953618330385,0.0,309.06984300000005,524.99646,240.4888080000001
100,4,61,112061,0.002337578590062237,24812,24870,656699,False,0.8450129839922452,0.0023375785909101,7145.042207,7524.88829,4695.8986670000095
100,4,66,104634,0.0,67967,67967,264541,True,0.8608005046078636,0.0,3282.841489,3668.217397,2209.4839359999937
100,4,71,110213,0.00011718246480909908,170674,170694,625640,False,0.8979884405569399,0.0001171824648152,7154.277752,7577.425718,4554.481946999987
100,4,76,107744,0.0,0,0,1,True,0.9999999999907188,0.0,0.1531759999999999,0.883615,0.1287129999999999
100,4,81,112717,0.0,819,819,1818,True,0.6417576762986794,0.0,39.718629000000014,432.847111,35.627913000000035
100,4,86,127763,0.0041489863252480025,21210,21298,1185715,False,0.8517254604161477,0.0041489863270085,7128.536742,7698.057060999999,3796.826516999956
100,4,91,116098,0.0,70606,70606,222591,True,0.9118503333312216,0.0,2721.515272,3165.821254,1840.6981769999925
100,4,96,104277,0.0,133587,133587,36296,True,0.9186014173699033,0.0,367.39982,629.051087,251.57576800000092
100,4,101,110018,0.0,0,0,1,True,0.9999999999909106,0.0,0.1882729999999999,1.091792,0.163492
100,4,106,125722,0.0,0,0,1,True,0.999999999992046,0.0,0.17614,0.913019,0.151569
100,4,111,134181,0.0020592462296361467,46619,46715,487518,False,0.8484882360330561,0.0020592462300336,7170.703225000001,8404.604187,4564.486688000017
100,4,116,120059,0.0005417651693713785,101520,101575,514316,False,0.8690976936267244,0.0005417651694194,7162.574354,7485.776936,4628.872782999985
100,4,121,116004,0.0,127618,127618,383608,True,0.9177786972783889,0.0,4784.2231090000005,5148.728706999999,3109.0514020000005
